"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen","NA","Year","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Europe","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Asia","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Africa","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Europe","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Asia","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Africa","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Northern_America"
"69","1400000US12001001000","Census Tract 10, Alachua County, Florida","5703","5513","3579","1880","702","471","539","168","54","0","0","54","190","135","55",NA,"2019","51","48","0","0","36","0","0","0","0","0","55","0"
"70","1400000US12001001100","Census Tract 11, Alachua County, Florida","6977","6254","3117","2984","1147","717","928","192","153","23","0","130","723","533","190",NA,"2019","70","285","30","0","132","16","35","112","14","0","12","17"
"71","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","3471","3254","1600","1489","357","362","595","175","165","38","0","127","217","156","61",NA,"2019","29","46","0","0","81","0","47","14","0","0","0","0"
"72","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7857","7376","3858","3259","1108","999","774","378","259","194","15","50","481","318","163",NA,"2019","41","128","0","0","133","16","43","32","17","0","49","22"
"73","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3506","3191","2063","1080","282","237","481","80","48","22","0","26","315","168","147",NA,"2019","34","86","0","7","41","0","0","47","0","21","52","27"
"74","1400000US12001001400","Census Tract 14, Alachua County, Florida","4652","4557","3302","1130","318","247","469","96","125","37","0","88","95","48","47",NA,"2019","19","0","0","0","29","0","6","0","0","0","41","0"
"75","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1689","1382","770","539","224","94","123","98","73","66","0","7","307","209","98",NA,"2019","14","110","0","5","75","5","6","40","0","11","41","0"
"76","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","4919","4198","2531","1610","264","679","429","238","57","0","0","57","721","253","468",NA,"2019","34","143","0","0","76","0","26","295","0","0","147","0"
"77","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","2422","2090","1385","644","198","145","223","78","61","31","8","22","332","130","202",NA,"2019","39","36","0","0","55","0","0","175","0","7","20","0"
"78","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","4547","3565","1759","1448","498","245","627","78","358","196","0","162","982","345","637",NA,"2019","110","69","0","0","166","0","22","541","0","12","62","0"
"79","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2622","1708","1045","640","236","142","227","35","23","20","0","3","914","160","754",NA,"2019","35","21","0","0","104","0","34","646","0","0","46","28"
"80","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2494","1902","1185","683","186","148","210","139","34","34","0","0","592","102","490",NA,"2019","0","38","0","0","64","0","58","126","87","0","219","0"
